episode_idx,timestep,var_along_expert,var_ortho_expert,ratio_along_ortho,expert_action_norm
1390,0,0.00010216513,3.852778451239809e-05,2.6517261394045173,0.12864678
1390,3,0.00013130093,2.7904534672803068e-05,4.705361639711367,0.12387036
1390,6,0.00016770844,3.725818873561443e-05,4.501250387744186,0.13302657
1390,9,4.688754e-05,3.039800472795329e-05,1.5424545439748876,0.14434604
1390,12,9.04505e-05,3.921367138861976e-05,2.306606251162626,0.12191711
1390,15,0.00016659794,4.563054585076393e-05,3.651017823255319,0.12503965
1390,18,6.475383e-05,4.958424796449377e-05,1.3059355614178008,0.13378626
2668,0,7.243537e-05,2.429549374241144e-05,2.9814321748093153,0.26318365
2668,3,0.00010441941,3.284488140823359e-05,3.17916833234505,0.23199968
2668,6,7.117355e-05,1.0836614355286385e-05,6.567876830871905,0.14816138
2668,9,8.101599e-06,2.2934353415002214e-05,0.3532516734543184,0.17423138
2668,12,7.0832866e-05,3.0935107869036655e-05,2.2897242345389697,0.21332876
2668,15,6.957027e-05,4.312242975735918e-05,1.6133197886222646,0.23135792
2668,18,4.2013817e-05,1.514027702641931e-05,2.774970143332454,0.1499761
2668,21,1.1160563e-05,9.122351060641256e-06,1.2234305735297661,0.08512221
2668,24,0.00024705377,2.3028828164047384e-05,10.728021901490724,0.053365868
2668,27,0.0004953972,2.988709751120273e-05,16.575620786482865,0.12264848
2668,30,0.00040793233,4.405111688724224e-05,9.260430949839698,0.18395896
2668,33,6.315541e-05,7.054277081438835e-05,0.8952782255283845,0.2250924
2907,0,0.00031560997,8.536993149430194e-05,3.696968764126183,0.15501334
2907,3,0.00048829714,5.596060246387695e-05,8.725730588884018,0.13525252
2907,6,9.2922004e-05,3.0962497669648614e-05,3.0011146098674972,0.09514945
2907,9,0.00027298304,4.682145477767954e-05,5.8302982286169,0.13703689
2907,12,3.705128e-05,4.9865116028392567e-05,0.7430300353071669,0.39976045
2907,15,0.00038934106,6.19266251538028e-05,6.287135142103382,0.42588696
2907,18,8.186194e-05,4.995188259697975e-05,1.6388158584702077,0.3962698
2907,21,0.00021358363,5.694088882746849e-05,3.750971053223406,0.2921546
2907,24,0.0002982941,6.514673240165761e-05,4.578803605803322,0.31104556
2907,27,0.00029344708,9.486339788170571e-05,3.0933646659064014,0.23393351
2907,30,0.00020089513,5.274595435153931e-05,3.808730534480409,0.16255173
2907,33,6.0686423e-05,0.00010969899000322566,0.5532085868588812,0.013722211
3298,0,0.009431824,0.00012313824226247504,76.59540947476118,0.43175483
3298,3,0.0011142136,0.0002428477312973205,4.588116184534301,0.3244292
3298,6,0.000598739,0.00012094872270492797,4.950354202525582,0.29181015
3298,9,0.0021545594,5.9494540650159756e-05,36.21440453417358,0.22086388
3298,12,0.0050778934,0.00022405489011013762,22.66361326717563,0.15235041
3298,15,0.0013330651,0.00024286849780919703,5.488834946386709,0.23405562
3298,18,0.00020273066,0.00011312489972469654,1.7920958368453652,0.36879966
3298,21,0.0010824209,0.0001709141193869266,6.333127626204172,0.419976
3298,24,0.00061928,2.8340230160888205e-05,21.85162131303055,0.3387822
3298,27,0.00039724933,4.110991598126736e-05,9.663102421616202,0.28491044
3298,30,0.0005184976,3.82587462267343e-05,13.552394017487668,0.21648137
3298,33,0.0026510404,1.3030193587566944e-05,203.4536497460385,0.18230234
3298,36,0.0014871155,2.7297785446206305e-05,54.47751493963579,0.16518553
3298,39,0.00035711864,6.669258421405833e-05,5.3546978744237075,0.13703273
3298,42,0.0006213827,5.9748979959082093e-05,10.39988751888711,0.10181389
3298,45,1.6434786e-05,4.5406528094664534e-05,0.36194764079984776,0.094402045
4060,0,4.3299562e-05,2.8718089526321027e-05,1.5077452159325997,0.12738411
4060,3,4.6501835e-05,1.5512547217943566e-05,2.9976917444948636,0.09227316
4060,6,4.5619112e-05,1.2166567761054698e-05,3.7495465287763303,0.08001261
4060,9,1.2407703e-05,1.0002345005248456e-05,1.2404794321613801,0.07523328
4060,12,1.3597902e-05,7.508313308093459e-06,1.8110461181446986,0.07317452
4060,15,3.7302576e-05,9.382399358846088e-06,3.9758034720703783,0.07871715
4060,18,1.6965456e-05,7.521214354981451e-06,2.2556804087281916,0.078681484
4060,21,4.262973e-05,1.1451554762080628e-05,3.7226150549683013,0.071471855
4060,24,1.864952e-05,3.396814807932428e-05,0.5490296342436437,0.17122447
