tv,pc,alignment,var_explained,chance_mean,chance_ci_low,chance_ci_high,z_score,p_value
TV1_cumulative_position,0,0.999988503991067,0.261747784487559,0.9375,0.8151982149364597,0.9950500535718353,1.2918623749304643,0.09820240482599907
TV1_cumulative_position,1,0.9999940895552718,0.24400066376123236,0.9375,0.8151982149364597,0.9950500535718353,1.2919784395969447,0.09818230563022035
TV1_cumulative_position,2,0.9998548595542243,0.06438553114440775,0.9375,0.8151982149364597,0.9950500535718353,1.2890853238716427,0.09868421257623494
TV1_cumulative_position,3,0.9996214193516579,0.047879209149285146,0.9375,0.8151982149364597,0.9950500535718353,1.284234576792127,0.09952994515140334
TV1_cumulative_position,4,0.9999354812179343,0.030024143811548002,0.9375,0.8151982149364597,0.9950500535718353,1.2907605935787791,0.09839335306387853
TV1_cumulative_position,5,0.999959657187544,0.0296609533817368,0.9375,0.8151982149364597,0.9950500535718353,1.2912629556941706,0.09830625566866336
TV1_cumulative_position,6,0.9997230741628317,0.026237177285568448,0.9375,0.8151982149364597,0.9950500535718353,1.2863469026597318,0.09916101019024182
TV1_cumulative_position,7,0.9990288825961773,0.025735933460857677,0.9375,0.8151982149364597,0.9950500535718353,1.2719220192096905,0.10170041373969219
TV1_cumulative_position,8,0.9992080069393785,0.02320373181709268,0.9375,0.8151982149364597,0.9950500535718353,1.2756441153829348,0.10104067596112021
TV1_cumulative_position,9,0.9998880699735777,0.022897690465701025,0.9375,0.8151982149364597,0.9950500535718353,1.2897754164217572,0.09856432291148365
TV2_cumulative_pos_orient,0,0.9710701857964225,0.261747784487559,0.875,0.72013199286419,0.9728957086065841,1.4480122506194035,0.07380681224313002
TV2_cumulative_pos_orient,1,0.9864142608717718,0.24400066376123236,0.875,0.72013199286419,0.9728957086065841,1.6794487548410677,0.04653230908016548
TV2_cumulative_pos_orient,2,0.6131764324506104,0.06438553114440775,0.875,0.72013199286419,0.9728957086065841,-3.9501416785277192,0.9999609475268588
TV2_cumulative_pos_orient,3,0.4985846368807387,0.047879209149285146,0.875,0.72013199286419,0.9728957086065841,-5.678543322089865,0.9999999932076685
TV2_cumulative_pos_orient,4,0.9706886018318194,0.030024143811548002,0.875,0.72013199286419,0.9728957086065841,1.4422567744241224,0.07461497474280754
TV2_cumulative_pos_orient,5,0.9756154560493125,0.0296609533817368,0.875,0.72013199286419,0.9728957086065841,1.5165691009284572,0.06468775580959063
TV2_cumulative_pos_orient,6,0.9964127867428856,0.026237177285568448,0.875,0.72013199286419,0.9728957086065841,1.830257706414695,0.03360570621706538
TV2_cumulative_pos_orient,7,0.9883951386276022,0.025735933460857677,0.875,0.72013199286419,0.9728957086065841,1.709326568971185,0.04369523723348845
TV2_cumulative_pos_orient,8,0.9936728221840009,0.02320373181709268,0.875,0.72013199286419,0.9728957086065841,1.7889304960038,0.03681300487068995
TV2_cumulative_pos_orient,9,0.9910358295912374,0.022897690465701025,0.875,0.72013199286419,0.9728957086065841,1.749156423970741,0.040131992081773316
TV3_per_step_position,0,0.9998418221482348,0.261747784487559,0.5,0.30659466167983157,0.6930251768294484,5.040402580811839,2.3227678069837054e-07
TV3_per_step_position,1,0.99982415790386,0.24400066376123236,0.5,0.30659466167983157,0.6930251768294484,5.040224325202513,2.3249324176966013e-07
TV3_per_step_position,2,0.9991390708908965,0.06438553114440775,0.5,0.30659466167983157,0.6930251768294484,5.033310890336797,2.410401805930107e-07
TV3_per_step_position,3,0.998899236876938,0.047879209149285146,0.5,0.30659466167983157,0.6930251768294484,5.030890647648336,2.441032782574126e-07
TV3_per_step_position,4,0.9886627501000184,0.030024143811548002,0.5,0.30659466167983157,0.6930251768294484,4.92759094520637,4.1624838564846556e-07
TV3_per_step_position,5,0.9884100033871666,0.0296609533817368,0.5,0.30659466167983157,0.6930251768294484,4.925040396292495,4.2171464142981563e-07
TV3_per_step_position,6,0.9939131931378816,0.026237177285568448,0.5,0.30659466167983157,0.6930251768294484,4.980574865893169,3.1697835545241304e-07
TV3_per_step_position,7,0.988379609449615,0.025735933460857677,0.5,0.30659466167983157,0.6930251768294484,4.9247336812276945,4.223766213451441e-07
TV3_per_step_position,8,0.9797501298988908,0.02320373181709268,0.5,0.30659466167983157,0.6930251768294484,4.837650809023068,6.569134674005994e-07
TV3_per_step_position,9,0.995632313898124,0.022897690465701025,0.5,0.30659466167983157,0.6930251768294484,4.9979230701027655,2.897554703951144e-07
