expert_norm,total_var,var_along_expert,var_ortho_expert,direction_ratio
0.12864678,0.001912971,0.00010216513,3.8527785e-05,2.6517193
0.12387036,0.001442814,0.00013130093,2.7904534e-05,4.7053447
0.13302657,0.0019188432,0.00016770844,3.725819e-05,4.5012383
0.14434604,0.0014755938,4.688754e-05,3.0398005e-05,1.5424495
0.12191711,0.0019334931,9.04505e-05,3.921367e-05,2.3066006
0.12503965,0.0023112337,0.00016659794,4.5630546e-05,3.65101
0.13378626,0.0023952136,6.475383e-05,4.9584247e-05,1.305933
0.26318365,0.0012143236,7.243537e-05,2.4295494e-05,2.9814198
0.23199968,0.0016481288,0.00010441941,3.284488e-05,3.179159
0.14816138,0.0005804944,7.117355e-05,1.0836614e-05,6.5678163
0.17423138,0.0010860162,8.101599e-06,2.2934353e-05,0.35325015
0.21332876,0.001524783,7.0832866e-05,3.093511e-05,2.289717
0.23135792,0.0020963245,6.957027e-05,4.312243e-05,1.6133162
0.1499761,0.00075360684,4.2013817e-05,1.5140277e-05,2.7749517
0.08512221,0.00043991106,1.1160563e-05,9.122351e-06,1.2234172
0.053365868,0.0013294087,0.00024705377,2.3028828e-05,10.727976
0.12264848,0.0019000907,0.0004953972,2.9887098e-05,16.575565
0.18395896,0.0024783348,0.00040793233,4.4051118e-05,9.26041
0.2250924,0.0033786655,6.315541e-05,7.0542774e-05,0.8952769
0.15501334,0.0043279966,0.00031560997,8.536993e-05,3.6969643
0.13525252,0.0031184454,0.00048829714,5.59606e-05,8.725716
0.09514945,0.0015481594,9.2922004e-05,3.09625e-05,3.0011048
0.13703689,0.0024735914,0.00027298304,4.6821453e-05,5.830286
0.39976045,0.0023807117,3.705128e-05,4.9865117e-05,0.7430286
0.42588696,0.0032998924,0.00038934106,6.192663e-05,6.2871246
0.3962698,0.0024296003,8.186194e-05,4.9951883e-05,1.6388127
0.2921546,0.0028898055,0.00021358363,5.6940888e-05,3.7509646
0.31104556,0.0033601904,0.0002982941,6.5146734e-05,4.5787964
0.23393351,0.004752027,0.00029344708,9.48634e-05,3.0933614
0.16255173,0.002679955,0.00020089513,5.2745956e-05,3.8087232
0.013722211,0.005216539,6.0686423e-05,0.00010969899,0.5532081
0.43175483,0.0152193215,0.009431824,0.00012313825,76.595345
0.3244292,0.012528057,0.0011142136,0.00024284773,4.5881143
0.29181015,0.006283329,0.000598739,0.00012094872,4.95035
0.22086388,0.004950803,0.0021545594,5.949454e-05,36.214344
0.15235041,0.015608473,0.0050778934,0.0002240549,22.663603
0.23405562,0.012747885,0.0013330651,0.0002428685,5.4888325
0.36879966,0.005519601,0.00020273066,0.0001131249,1.7920942
0.419976,0.009115385,0.0010824209,0.00017091412,6.3331237
0.3387822,0.0019512707,0.00061928,2.834023e-05,21.851545
0.28491044,0.0023294154,0.00039724933,4.1109917e-05,9.663079
0.21648137,0.0023166586,0.0005184976,3.8258746e-05,13.55236
0.18230234,0.0032634595,0.0026510404,1.3030193e-05,203.45209
0.16518553,0.0027701114,0.0014871155,2.7297785e-05,54.477318
0.13703273,0.0034916701,0.00035711864,6.6692584e-05,5.3546896
0.10181389,0.0034295847,0.0006213827,5.974898e-05,10.39987
0.094402045,0.0021505416,1.6434786e-05,4.5406527e-05,0.36194688
0.12738411,0.0013930497,4.3299562e-05,2.871809e-05,1.5077399
0.09227316,0.0007755915,4.6501835e-05,1.5512547e-05,2.9976723
0.08001261,0.0006174478,4.5619112e-05,1.2166568e-05,3.7495155
0.07523328,0.0004825179,1.2407703e-05,1.0002345e-05,1.240467
0.07317452,0.00036648862,1.3597902e-05,7.5083135e-06,1.8110219
0.07871715,0.00047827535,3.7302576e-05,9.382399e-06,3.9757612
0.078681484,0.00037046254,1.6965456e-05,7.5212142e-06,2.2556505
0.071471855,0.0005808528,4.262973e-05,1.1451555e-05,3.7225823
0.17122447,0.0016151525,1.864952e-05,3.3968146e-05,0.5490281
0.19304852,0.0031705028,0.0002110487,6.296711e-05,3.3517237
0.2253826,0.0013248428,9.7306336e-05,2.6117797e-05,3.7256572
0.2051006,0.00096173875,7.043151e-05,1.8963985e-05,3.7139418
0.18567756,0.00071838277,0.00015251589,1.2039721e-05,12.667621
0.0064255884,0.00067699014,1.5385604e-05,1.40766915e-05,1.0929766
0.0063828593,0.00057642034,1.312746e-05,1.1984955e-05,1.0953192
0.0825965,0.0013295892,0.000110545065,2.5937108e-05,4.2620263
0.08591402,0.0009739196,0.000113631955,1.8303992e-05,6.2080083
0.13623017,0.0027039421,0.00013395879,5.4680495e-05,2.4498415
0.15229008,0.0019026947,0.00019184078,3.6401147e-05,5.2701707
0.15008144,0.0024832608,0.0005124306,4.1932555e-05,12.2203245
0.08812748,0.0017750508,7.992524e-05,3.60665e-05,2.2160459
0.06530455,0.0011498893,8.2102386e-05,2.271887e-05,3.613825
0.062812336,0.001243024,0.00012613689,2.3763556e-05,5.307975
0.085322514,0.0014395427,0.00011403318,2.820233e-05,4.043381
0.07818325,0.002239713,0.00010860517,4.5342716e-05,2.3952014
0.19031805,0.004685606,0.0002370941,9.4649185e-05,2.5049748
0.25261778,0.0046759965,0.0004100948,9.076387e-05,4.518255
0.22379881,0.003746105,0.0002364187,7.467417e-05,3.1659992
